| Класс (Hierarchy_MTR_Class) | Название класса | Атрибуты для краткого наименования | Атрибуты для полного наименования |
| 701111110000000 | Денежные документы | Тип, Размер, Стоимость | Тип, Размер, Стоимость, Особенности |
| 701110400000000 | Газ в баллонах | Тип, Назначение, Объем | Тип, Назначение, Объем, Чистота, ГОСТ |
| 702110200000000 | Мюсли-батончики | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Вес |
| 701040100000000 | Аккумуляторы | Тип, Бренд, Характеристики | Тип, Бренд, Характеристики, Полярность, Размер |
| 702090300000000 | Колбасы/сосиски | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Тип обработки, Вес |
| 701040200000000 | Лампы | Тип, Бренд, Характеристики, Кол-во | Тип, Бренд, Характеристики, Кол-во, Тип упаковки |
| 702131000000000 | Десерты | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Вес |
| 701071200000000 | Носовые платки/влажные салфетки/полотенца | Тип, Бренд, Артикул | Тип, Бренд, Артикул, Кол-во, Особенности |
| 701111100000000 | Непродовольственные ингредиенты для кафе | Тип, Назначение, Размер | Тип, Назначение, Размер, Упаковка |
| 702020100000000 | Алкоголесодержащее пиво | Тип, Бренд, Вкус, Объем | Тип, Бренд, Вкус, Алкоголь, Объем |
| 702050200000000 | Мясные консервы | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Сорт, Вес, Производитель |
| 702080900000000 | Хлебобулочные изделия | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Вес |
| 701111000000000 | Тара для производства | Тип, Назначение, Объем | Тип, Назначение, Объем, Цвет, Брендирование |
| 701110800000000 | Непродовольственные комплекты | Тип, Назначение, Цвет | Тип, Назначение, Цвет, Комплектация, Размеры |
| 702040100000000 | Готовые завтраки/обеды | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 702020200000000 | Безалкогольное пиво | Тип, Бренд, Вкус, Объем | Тип, Бренд, Вкус, Объем, Тип упаковки |
| 702110700000000 | Прочая снэковая продукция | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Вес, Производитель |
| 701050300000000 | Контрацепция | Тип, Бренд, Назначение | Тип, Бренд, Назначение, Комплектация |
| 701080700000000 | Фото продукция | Тип, Бренд, Модель | Тип, Бренд, Модель, Комплектация |
| 701040700000000 | Хомуты | Тип, Материал, Размер | Тип, Материал, Размер, Особенности |
| 701041000000000 | Прочие автозапчасти | Тип, Бренд, Назначение | Тип, Бренд, Назначение, Комплектация |
| 702131600000000 | Ингредиенты для кафе | Тип, Назначение, Вес | Тип, Назначение, Состав, Вес |
| 701040900000000 | Предохранители авт. | Тип, Бренд, Номинал, Кол-во | Тип, Бренд, Номинал, Кол-во |
| 701080200000000 | Средства для розжига | Тип, Бренд, Назначение, Объем | Тип, Бренд, Назначение, Объем |
| 702070100000000 | Молоко/сливки | Тип, Бренд, Жирность, Объем | Тип, Бренд, Жирность, Назначение, Объем |
| 701070500000000 | Дезодоранты | Тип, Бренд, Назначение, Объем | Тип, Бренд, Назначение, Объем |
| 701030100000000 | Ароматизаторы | Тип, Название, Вес | Тип, Название, Аромат, Вес |
| 702110600000000 | Чипсы | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Вес |
| 702060700000000 | Прочие замороженные продукты | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 702040400000000 | Крупа | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Сорт, Вес |
| 701080500000000 | Банные аксессуары | Тип, Назначение, Объем | Тип, Назначение, Состав, Объем |
| 702050500000000 | Фруктово-ягодные консервы | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Вес |
| 701040800000000 | Щетки стеклоочистителя | Тип, Модель, Совместимость | Тип, Модель, Совместимость |
| 702090200000000 | Мясные деликатесы | Тип, Название, Вес | Тип, Название, Состав, Вес |
| 701110900000000 | Оборотная тара | Тип, Назначение | Тип, Назначение, Вместимость |
| 702040500000000 | Приправы сыпучие | Тип, Бренд, Назначение, Вес | Тип, Бренд, Назначение, Состав, Вес |
| 702040600000000 | Прочая бакалея | Тип, Бренд, Название, Объем | Тип, Бренд, Название, Тип обработки, Объем |
| 701070100000000 | Предметы женской гигиены | Тип, Бренд, Назначение, Кол-во | Тип, Бренд, Назначение, Кол-во, Особенности |
| 701100400000000 | Лотерейные билеты | Тип, Название | Тип, Название, Серия |
| 702130200000000 | Горячие основные блюда | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 702110300000000 | Семечки | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Вес |
| 702130900000000 | Хлеб, булочки, другая выпечка | Тип, Бренд, Начинка, Вес | Тип, Бренд, Начинка, Состав, Вес |
| 701081000000000 | Очки | Тип, Назначение, Особенности | Тип, Назначение, Особенности |
| 701040300000000 | Провода | Тип, Совместимость | Тип, Совместимость, Особенности |
| 701050200000000 | Гель-смазки | Тип, Бренд, Назначение, Объем | Тип, Бренд, Назначение, Состав, Объем |
| 702060500000000 | Мясные замороженные продукты | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 702050400000000 | Соусы/Кетчупы | Тип, Бренд, Название, Объем | Тип, Бренд, Название, Состав, Объем |
| 701060700000000 | Бланки отчётности | Тип, Назначение | Тип, Назначение, Номер формы |
| 701040400000000 | Ремни | Тип, Назначение, Модель | Тип, Назначение, Модель, Совместимость |
| 702080200000000 | Освежающие леденцы и пастилки | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Вес |
| 702080800000000 | Пряники | Тип, Бренд, Начинка, Вес | Тип, Бренд, Начинка, Состав, Вес |
| 701070200000000 | Предметы детской гигиены | Тип, Бренд, Назначение, Объем | Тип, Бренд, Назначение, Объем, Возраст |
| 702090100000000 | Сырое мясо | Тип, Название, Вес | Тип, Название, Состояние, Вес |
| 702131500000000 | Прочая продукция кафе | Тип, Бренд, Вкус | Тип, Бренд, Вкус, Состав |
| 702050600000000 | Грибные консервы | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 701040500000000 | Свечи | Тип, Бренд, Модель, Совместимость | Тип, Бренд, Модель, Совместимость |
| 702130600000000 | Салаты | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 701150000000000 | Смазки для пищевой промышленности | Тип, Бренд, Назначение | Тип, Бренд, Назначение, Объем |
| 701080100000000 | Твердое топливо | Тип, Бренд, Форма, Кол-во | Тип, Бренд, Форма, Кол-во |
| 702050700000000 | Прочие консервированные продукты | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 702010900000000 | Вина | Тип, Бренд, Сорт, Объем | Тип, Бренд, Сорт, Сахар, Объем |
| 702060300000000 | Смешанные замороженные продукты | Тип, Название, Вес | Тип, Название, Состав, Вес |
| 701100100000000 | Карты оплаты услуг | Тип, Оператор, Тариф | Тип, Оператор, Тариф |
| 701060100000000 | Газеты | Тип, Название, Издатель | Тип, Название, Издатель, Дата |
| 701130200000000 | Сигары, сигариллы, табак | Тип, Бренд, Название | Тип, Бренд, Название, Вес |
| 702040300000000 | Сахар/сахарозаменители | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Категория, Вес |
| 702131100000000 | Безалкогольные горячие напитки | Тип, Бренд, Вкус, Объем | Тип, Бренд, Вкус, Тип чая, Объем |
| 701130100000000 | Сигареты | Тип, Бренд, Название | Тип, Бренд, Название, Производитель |
| 702131800000000 | Полуфабрикаты для кафе | Тип, Название, Состав | Тип, Название, Состав |
| 702131200000000 | Безалкогольные холодные напитки | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Тип чая, Вес |
| 702130100000000 | Супы, бульоны | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 702011000000000 | Шампанское и игристое вино | Тип, Бренд, Цвет, Сахар, Объем | Тип, Бренд, Цвет, Сахар, Объем |
| 702130400000000 | Холодные закуски | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 702130700000000 | Пицца | Тип, Бренд, Начинка, Вес | Тип, Бренд, Начинка, Состав, Вес |
| 702080600000000 | Круассаны/рулеты/кексы | Тип, Бренд, Начинка, Вес | Тип, Бренд, Начинка, Состав, Вес |
| 701100200000000 | Скидочные карты | Тип, Название, Назначение | Тип, Название, Назначение |
| 701070800000000 | Лосьоны | Тип, Бренд, Назначение, Объем | Тип, Бренд, Назначение, Объем |
| 702131700000000 | Блинчики | Тип, Бренд, Начинка, Вес | Тип, Бренд, Начинка, Состав, Вес |
| 702010400000000 | Коньяки/Бренди | Тип, Бренд, Выдержка, Объем | Тип, Бренд, Выдержка, Объем, Крепость |
| 702100100000000 | Рыба | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 702120700000000 | Готовые бутерброды и сэндвичи | Тип, Начинка, Вес | Тип, Начинка, Состав, Вес |
| 702010200000000 | Водка | Тип, Бренд, Название, Объем | Тип, Бренд, Название, Объем |
| 702010100000000 | Виски | Тип, Бренд, Выдержка, Объем | Тип, Бренд, Выдержка, Объем, Крепость |
| 702011300000000 | Прочие алкогольные напитки | Тип, Название, Крепость, Объем | Тип, Название, Состав, Крепость, Объем |
| 702130300000000 | Горячие закуски | Тип, Название, Вес | Тип, Название, Состав, Вес |
| 702140100000000 | Свежие овощи/ягоды/фрукты | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 702110100000000 | Рыба/морепродукты сушеные/вяленые | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 702130500000000 | Гарниры | Тип, Название, Вес | Тип, Название, Состав, Вес |
| 702011400000000 | Ликеры | Тип, Бренд, Вкус, Крепость, Объем | Тип, Бренд, Вкус, Крепость, Объем |
| 701100300000000 | Купоны | Тип, Название, Назначение | Тип, Название, Назначение |
| 702100400000000 | Прочая рыбная продукция | Тип, Название, Вес | Тип, Название, Состав, Вес |
| 702120100000000 | Готовые супы, бульоны | Тип, Название, Вес | Тип, Название, Состав, Вес |
| 702060400000000 | Фрукты/ягоды замороженные | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 702120600000000 | Готовые салаты | Тип, Название, Вес | Тип, Название, Состав, Вес |
| 702060100000000 | Овощи замороженные | Тип, Название, Состояние | Тип, Название, Состояние |
| 702090400000000 | Прочая мясная продукция | Тип, Название, Вес | Тип, Название, Состояние, Вес |
| 702070300000000 | Масло/маргарин | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Вес |
| 700000000000000 | Потребительские изделия | Тип, Назначение | Тип, Назначение |
| 702060200000000 | Рыбные/Морепродукты замороженные | Тип, Название, Состояние | Тип, Название, Состояние |
| 702081100000000 | Торты и пирожные | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 702010600000000 | Текила | Тип, Бренд
